,id,cox,molecularFormula,Zodiac_Score
0,10066_1907_EMPv2_SIRIUS_13297,-1.625,C32H64NO7P,0.9959798994974872
1,32597_1907_EMPv2_SIRIUS_50000,-0.64,C25H46N6O6,1.0
2,527_1907_EMPv2_SIRIUS_46780,-1.6,C30H60NO7P,1.0
3,8487_1907_EMPv2_SIRIUS_44082,-1.2903225806451613,C31H58NO10P,0.9879396984924624
4,7266_1907_EMPv2_SIRIUS_51663,-1.625,C32H64NO7P,1.0
5,24521_1907_EMPv2_SIRIUS_50514,-1.0,C30H57NO12,0.9934673366834172
6,30816_1907_EMPv2_SIRIUS_23984,-1.2,C25H49O12P,0.9964824120603016
7,43351_1907_EMPv2_SIRIUS_56641,-0.7096774193548387,C31H53N5O8,0.9984924623115576
8,12772_1907_EMPv2_SIRIUS_23982,-1.3103448275862069,C29H57O12P,0.9994974874371858
9,36840_1907_EMPv2_SIRIUS_23272,-1.3846153846153846,C26H52NO9P,0.992964824120603
10,6230_1907_EMPv2_SIRIUS_20556,-1.3846153846153846,C26H52NO9P,0.992462311557789
11,18762_1907_EMPv2_SIRIUS_20554,-1.3846153846153846,C26H52NO9P,0.9788944723618092
12,4550_1907_EMPv2_SIRIUS_49204,-1.103448275862069,C29H51NO7S,1.0
13,14843_1907_EMPv2_SIRIUS_36947,-1.4782608695652173,C23H43O7P,0.9994974874371858
14,33238_1907_EMPv2_SIRIUS_15432,-1.2727272727272727,C22H44NO9P,1.0
15,29194_1907_EMPv2_SIRIUS_13883,-1.103448275862069,C29H51NO7S,0.9934673366834169
16,33334_1907_EMPv2_SIRIUS_46976,-1.1724137931034482,C29H51NO6S,1.0
17,45827_1907_EMPv2_SIRIUS_26621,-1.4545454545454546,C22H44NO7P,0.9909547738693468
18,48874_1907_EMPv2_SIRIUS_20548,-1.3846153846153846,C26H52NO9P,0.9849246231155782
19,22685_1907_EMPv2_SIRIUS_51672,-1.4545454545454546,C22H44NO7P,0.9984924623115576
20,39423_1907_EMPv2_SIRIUS_24184,-1.3333333333333333,C24H48NO9P,1.0
21,17788_1907_EMPv2_SIRIUS_50778,-1.2727272727272727,C22H44NO9P,0.9984924623115576
22,41268_1907_EMPv2_SIRIUS_12812,-1.4545454545454546,C22H44NO7P,1.0
23,6502_1907_EMPv2_SIRIUS_17734,-1.4545454545454546,C22H44NO7P,0.9974874371859296
24,5249_1907_EMPv2_SIRIUS_56147,-1.1724137931034482,C29H51NO6S,1.0
25,20248_1907_EMPv2_SIRIUS_20471,-1.3333333333333333,C24H48NO9P,1.0
26,2982_1907_EMPv2_SIRIUS_50083,-1.3793103448275863,C29H56NO9P,0.9592964824120604
27,10821_1907_EMPv2_SIRIUS_46015,-1.4074074074074074,C27H52NO8P,0.7728643216080401
28,24184_1907_EMPv2_SIRIUS_20570,-1.3846153846153846,C26H52NO9P,0.8949748743718594
29,35544_1907_EMPv2_SIRIUS_19979,-1.4782608695652173,C23H43O7P,1.0
30,14768_1907_EMPv2_SIRIUS_44703,0.2727272727272727,C22H39N9O9,0.9944723618090454
31,39551_1907_EMPv2_SIRIUS_34992,-1.3333333333333333,C24H45O9P,0.9989949748743716
32,44479_1907_EMPv2_SIRIUS_57850,-1.375,C32H63NO8,0.3291457286432161
33,31448_1907_EMPv2_SIRIUS_7679,-0.7777777777777778,C36H57N5O7,0.9502512562814072
34,44863_1907_EMPv2_SIRIUS_23483,-1.3333333333333333,C24H48NO9P,1.0
35,22298_1907_EMPv2_SIRIUS_37799,-1.3793103448275863,C29H56NO9P,0.055276381909547735
36,6967_1907_EMPv2_SIRIUS_52599,-0.2608695652173913,C23H42N6O9,1.0
37,17431_1907_EMPv2_SIRIUS_13402,-1.103448275862069,C29H51NO7S,0.9904522613065329
38,32798_1907_EMPv2_SIRIUS_38301,-1.3333333333333333,C24H45O9P,1.0
39,1131_1907_EMPv2_SIRIUS_45281,-1.5333333333333334,C30H58NO7P,0.9964824120603014
40,9074_1907_EMPv2_SIRIUS_15810,-1.1304347826086956,C23H37ClO5,0.5321608040201006
41,18061_1907_EMPv2_SIRIUS_46332,-1.5333333333333334,C30H58NO7P,0.9989949748743716
42,9513_1907_EMPv2_SIRIUS_32706,0.16666666666666666,C24H38N8O9,0.052763819095477386
43,8950_1907_EMPv2_SIRIUS_54822,-0.8888888888888888,C36H61N5O7,0.9733668341708543
44,2950_1907_EMPv2_SIRIUS_15911,-1.2727272727272727,C22H44NO9P,0.9994974874371858
45,43617_1907_EMPv2_SIRIUS_7672,-1.4545454545454546,C22H44NO7P,1.0
46,27719_1907_EMPv2_SIRIUS_57258,1.0666666666666667,C15H9N7S2,0.019597989949748745
