SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	PeptideMass	SpectrumMass	Retention	MassDiff	Adduct	Charge	SMILES	FDR
lfnothias/2010_EMPv2_Classical/4b0d2428607a4341a668bc85bffd0789/4b0d2428607a4341a668bc85bffd0789-V2_clustered_spectra-main.mgf	26639	394480	283182	cyclo(Leu-Trp-Pro3-Phe-Gly-Pro6-Glu)|hymenamide_C|iso-hymenamide_C	29	826.401	827.408	288.534	0.00026	M+H	1	CC(C)C[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O	0.00
lfnothias/2010_EMPv2_Classical/4b0d2428607a4341a668bc85bffd0789/4b0d2428607a4341a668bc85bffd0789-V2_clustered_spectra-main.mgf	26118	381554	661768	Thermoactinoamide_A	27	714.468	715.475	351.055	0.0003	M+H	1	CC[C@H](C)[C@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O	0.00
lfnothias/2010_EMPv2_Classical/4b0d2428607a4341a668bc85bffd0789/4b0d2428607a4341a668bc85bffd0789-V2_clustered_spectra-main.mgf	26911	398682	372463	stylissamide_X	26	951.522	952.528	341.065	0.00126	M+H	1	CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@H](C)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2CCCN2C1=O	0.00
lfnothias/2010_EMPv2_Classical/4b0d2428607a4341a668bc85bffd0789/4b0d2428607a4341a668bc85bffd0789-V2_clustered_spectra-main.mgf	26644	394510	491306	phakellistatin_1	26	827.458	828.468	290.223	-0.00274	M+H	1	CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O	0.00
lfnothias/2010_EMPv2_Classical/4b0d2428607a4341a668bc85bffd0789/4b0d2428607a4341a668bc85bffd0789-V2_clustered_spectra-main.mgf	25657	369742	205887	Scopularide_A_Scopularide_A	26	671.426	672.433	402.241	0.0003	M+H	1	CCCCCCC(C)C1CC(=O)NCC(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(Cc2ccccc2)C(=O)O1	0.00
lfnothias/2010_EMPv2_Classical/4b0d2428607a4341a668bc85bffd0789/4b0d2428607a4341a668bc85bffd0789-V2_clustered_spectra-main.mgf	26432	389783	491528	hymenamide_D	24	769.401	770.408	242.411	0.00026	M+H	1	CC[C@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C1=O	0.00
lfnothias/2010_EMPv2_Classical/4b0d2428607a4341a668bc85bffd0789/4b0d2428607a4341a668bc85bffd0789-V2_clustered_spectra-main.mgf	20592	283756	124616	Spermidine_N''-(4-Hydroxy-3-methoxycinnamoyl),_N-(3,4-dihydroxycinnamoyl)	23	483.237	484.244	175.216	0.00029	M+H	1	COc1cc(/C=C/C(=O)NCCCCNCCCNC(=O)/C=C/c2ccc(O)c(O)c2)ccc1O	0.00
lfnothias/2010_EMPv2_Classical/4b0d2428607a4341a668bc85bffd0789/4b0d2428607a4341a668bc85bffd0789-V2_clustered_spectra-main.mgf	25019	356545	36491	Spermidine_N''-(4-Hydroxy-3-methoxycinnamoyl),_N'-(3,4-dihydroxycinnamoyl),_N-(4-hydroxycinnamoyl)	21	629.274	630.281	241.593	0.00027	M+H	1	COc1cc(/C=C/C(=O)NCCCCN(CCCNC(=O)/C=C/c2ccc(O)cc2)C(=O)/C=C/c2ccc(O)c(O)c2)ccc1O	0.00
lfnothias/2010_EMPv2_Classical/4b0d2428607a4341a668bc85bffd0789/4b0d2428607a4341a668bc85bffd0789-V2_clustered_spectra-main.mgf	23888	335142	435155	N/A	21	578.345	579.351	306.597	0.00127	M+H	1	CC[C@H](O)[C@@H](C)[C@H]1O[C@@H]1C[C@@H](C)/C=C/C=C(\C)[C@@H]1OC(=O)C[C@H](OC(C)=O)CC[C@@](C)(O)[C@@H](OC(C)=O)/C=C/[C@@H]1C	0.00
lfnothias/2010_EMPv2_Classical/4b0d2428607a4341a668bc85bffd0789/4b0d2428607a4341a668bc85bffd0789-V2_clustered_spectra-main.mgf	23462	327361	146328	Amphidinolide_G_16,18-Diepimer	21	562.351	563.356	321.164	0.00226	M+H	1	C=C1/C=C(/C)C(C)CC(O)CC(=O)C(O)C(O)C(C)CC(O)COC(=O)/C(C)=C\CC/C=C/C2OC2CC(C)C1	0.00
