sample_name	filename	ATTRIBUTE_lcms_sampletype	lcms_batch	lcms_samplingmethod	lcms_sampletype	lcms_extractionmethod	emp500_study_id	emp500_title	emp500_principal_investigator	tier	barcode_prefix	study_sample_number	sample_name_plus_plate	metab_id_2017	sampling_materials	sampling_method	environmental_package	physical_specimen_institution	env_biome	env_feature	env_material	empo_1	empo_2	empo_3	sample_type	taxon_id	scientific_name	host_taxid	host_common_name	host_scientific_name	geo_loc_name	latitude	longitude	elevation	aliquots_remaining	pnnl_gcms_raw_dataset_name	metabo_v2_filename_2019	metabo_v2_batch	metabo_v2_position	metabo_v2_extraction_protocol	metabo_v2_sampletype	metabo_v2_sampletype_sub
1A12_SPE_Blank.mzML	1A12_SPE_Blank.mzML	Blank	1	Not applicable	Blank	SPE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1B10_Blank.mzML	1B10_Blank.mzML	Blank	1	Not applicable	Blank	Solvent	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1D5_Blank.mzML	1D5_Blank.mzML	Blank	1	Not applicable	Blank	Solvent	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1E10_SPE_Blank.mzML	1E10_SPE_Blank.mzML	Blank	1	Not applicable	Blank	SPE	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1G11_Blank.mzML	1G11_Blank.mzML	Blank	1	Not applicable	Blank	Solvent	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1B7_1_28_berry-2-s001-a04.mzML	1B7_1_28_berry-2-s001-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s001	1	5.Berry2.sediment.Do5	P5_EMP_21	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Hampden County	42.17566	-72.7	75.6	4	Not applicable	1B7_1_28_berry-2-s001-a04.mzML	1.0	1B7	Bulk_201901_UCSD	Sample	Bulk
1C10_1_44_berry-2-s002-a04.mzML	1C10_1_44_berry-2-s002-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s002	2	2.Berry2.sediment.Do15	P2_EMP_47	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Hampden County	42.17566	-72.7	75.6	4	Not applicable	1C10_1_44_berry-2-s002-a04.mzML	1.0	1C10	Bulk_201901_UCSD	Sample	Bulk
1D11_1_64_berry-2-s003-a04.mzML	1D11_1_64_berry-2-s003-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s003	3	3.Berry2.sediment.Do21	P3_EMP_30	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Hampden County	42.17566	-72.7	75.6	4	Not applicable	1D11_1_64_berry-2-s003-a04.mzML	1.0	1D11	Bulk_201901_UCSD	Sample	Bulk
1C7_1_41_berry-2-s004-a04.mzML	1C7_1_41_berry-2-s004-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s004	4	1.Berry2.sediment.Do41	Not applicable	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Hampden County	42.17566	-72.7	75.6	4	Not applicable	1C7_1_41_berry-2-s004-a04.mzML	1.0	1C7	Bulk_201901_UCSD	Sample	Bulk
1B3_1_21_berry-2-s005-a04.mzML	1B3_1_21_berry-2-s005-a04.mzML	Sample	1	Bulk_201901_UCSD	Sample	SPE	2	Postglacial pond sediment profiles	Berry	1	berry.2.s005	5	4.Berry2.sediment.Do51	P4_EMP_34	NaN	bulk	sediment	UCSD	Small lake biome	pond bed	lake sediment	Free-living	Non-saline	Sediment (non-saline)	sediment	556182.0	freshwater sediment metagenome	Not applicable	Not applicable	Not applicable	United States of America:State of Massachusetts:Hampden County	42.17566	-72.7	75.6	0	Not applicable	1B3_1_21_berry-2-s005-a04.mzML	1.0	1B3	Bulk_201901_UCSD	Sample	Bulk
